dataset_index,source_row,canonical_smiles,drug_id,cell_id,ln_ic50
39914,259005,COc1cc(/C=C/C(=O)N2CCC=CC2=O)cc(OC)c1OC,Piperlongumine,HCC2218,2.466229
34601,337309,COc1cc(=C2C=c3ccccc3=N2)[nH]c1=Cc1[nH]c(C)cc1C.CS(=O)(=O)O,Obatoclax Mesylate,MLMA,0.453668
6338,235179,COc1cc(C(=O)N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C,XMD11-50,EW-24,2.704662
23881,80665,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C1CCCC1)C(C)CC(=O)N2C,NPK76-II-72-1,COR-L105,3.04705
26560,235482,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C1CCCC1)CCC(=O)N2C(C)C,XMD11-85h,22RV1,3.160981
4707,10242,COc1cc(C)c(Sc2cnc(NC(=O)c3ccc(CNC(C)C(C)(C)C)cc3)s2)cc1C(=O)N1CCN(C(C)=O)CC1,BMS-509744,WIL2-NS,2.561055
3450,429934,COc1cc(C2c3cc4c(cc3C(Br)C3COC(=O)C23)OCO4)cc(OC)c1OC,Podophyllotoxin bromide,CFPAC-1,1.055778
41247,415100,COc1cc(CCc2cc(NC(=O)c3ccc(N4C[C@@H](C)N[C@@H](C)C4)cc3)n[nH]2)cc(OC)c1,AZD4547,GB-1,1.052178
12611,185906,COc1cc(F)c(F)c(Nc2ccc(I)cc2F)c1NS(=O)(=O)C1(C[C@H](O)CO)CC1,Refametinib,NCI-H508,-0.828643
32712,233831,COc1cc(N2CCC(C(N)=O)CC2)ccc1Nc1nc(N)c(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,HG-5-88-01,NCI-H2803,3.716821
27062,4451,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,NVP-TAE684,IST-MEL1,1.56869
19719,109906,COc1cc(N2CCC(O)CC2)ccc1Nc1cc(Nc2ccccc2S(=O)(=O)C(C)C)c2cc[nH]c2n1,MPS-1-IN-1,TGBC24TKB,2.003209
30402,77510,COc1cc(N2CCN(C)CC2)ccc1Nc1nc(N)c(C(=O)c2c(Cl)cccc2Cl)s1,XMD14-99,NCI-H2023,5.188555
37375,14366,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C,XMD8-85,NALM-6,1.631678
3711,190210,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,Bosutinib,BB30-HNC,-0.414382
3603,154981,COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O,Alisertib,Mewo,3.625146
2347,258486,COc1cc(O)c2c(c1)C=CCC(O)C(O)C(=O)C=CCC(C)OC2=O,(5Z)-7-Oxozeaenol,SW872,-3.155502
2250,389463,COc1cc(OC)c2c(=O)nc(-c3cc(C)c(OCCO)c(C)c3)[nH]c2c1,RVX-208,HuH-7,5.720662
17858,79531,COc1cc(OC)cc(-c2ccc3ncc4ccc(=O)n(-c5ccc(N6CCNCC6)c(C(F)(F)F)c5)c4c3c2)c1,JW-7-24-1,5637,1.595768
15004,421137,COc1cc([C@@H]2c3cc4c(cc3C(O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)OC5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1O,Teniposide,PL4,0.897927
5542,17803,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,Etoposide,KP-3,4.008185
27222,482176,COc1cc2c(NC3CCN(C(C)C)CC3)nc(C3CCCCC3)nc2cc1OCCCN1CCCC1,UNC0638,MS751,4.354931
33368,267493,COc1cc2c(NC3CCN(C(C)C)CC3)nc(N3CCC(F)(F)CC3)nc2cc1OCCCN1CCCC1,UNC0642,UMC-11,1.455327
890,212561,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1,ZM447439,THP-1,3.637404
19482,119340,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,Foretinib,ES5,-1.637179
36940,461077,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,Cediranib,NCI-H322M,1.38762
32003,254919,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12,I-BET-151,NH-12,2.579175
11479,445613,COc1cc2c(cc1NS(=O)(=O)c1ccc(Br)cc1C)n(C)c(=O)n2C,OF-1,AU565,3.806611
34403,431648,COc1cc2c(cc1OC)C1C(=O)c3ccc4c(c3OC1CO2)CC(C(C)C)O4,Dihydrorotenone,8505C,3.130126
23524,501447,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1,A-366,SK-N-FI,5.261287
14088,441089,COc1cc2c3c(n(CCCNCCO)c(=O)c2cc1OC)-c1cc2c(cc1C3=O)OCO2,LMP744,KMRC-20,-0.72813
1631,503560,COc1cc2nc(N3CCCC3)nc(NCCCCCN3CCCC3)c2cc1OC,UNC0379,KARPAS-1106P,1.535229
3660,75627,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,Cabozantinib,EW-24,3.845483
14619,122928,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,Tivozanib,WIL2-NS,-1.328607
24718,12101,COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(N)=O)s3)c2cc1OC,GW843682X,KNS-81-FD,-0.410253
9096,13033,COc1cc2ncn(-c3cc(OCc4ccccc4S(C)(=O)=O)c(C#N)s3)c2cc1OC,GSK319347A,HCC2157,2.792017
24684,23571,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OC,CP466722,SW1710,1.923333
33312,104663,COc1cc2ncnc(Nc3cc(Br)c(O)c(Br)c3)c2cc1OC,WHI-P97,PCI-6A,4.402743
28410,137084,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=CCN1CCCCC1,PF-00299804,UACC-812,2.089924
33684,182310,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,Gefitinib,YAPC,2.085956
2,456659,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC(=O)N1CCN(C)CC1C,AZD3759,COLO-684,2.594046
17833,40694,COc1ccc(-c2cc3nccn3c(Nc3ncccc3C(N)=O)n2)cc1OC,BAY-61-3606,SK-MEL-28,3.869898
10662,217911,COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1CO,AZD8055,MPP-89,-0.869135
30012,472418,COc1ccc(-n2c(SCCCN3C(=O)c4cccc5cccc(c45)C3=O)nnc2-c2ccncc2)cc1,WIKI4,KMOE-2,2.031702
16808,256473,COc1ccc(C(=O)CC2(O)C(=O)Nc3c(Cl)ccc(Cl)c32)cc1,YK-4-279,TE-15,2.764018
90,374996,COc1ccc(CCc2nc3cc(-c4c(C)noc4C)ccc3n2C[C@H](C)N2CCOCC2)cc1Cl,SGC-CBP30,COLO-792,4.459499
20849,49077,COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1,GW-2580,KMRC-1,5.23056
38572,139826,COc1ccc(Cl)c(Nc2nc3ccccc3nc2NS(=O)(=O)c2cccc(NC(=O)C(C)(C)N)c2)c1,Pilaralisib,MKN45,2.770251
40870,386635,COc1ccc(Cn2ccc3ccc(C(=O)NO)cc32)cc1,PCI-34051,MS-1,4.475935
9906,8406,COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2ccnc(Nc3ccc(N4CCN(C)CC4)cc3)n2)c(OC)c1,WH-4-023,H9,2.79092
14446,480549,COc1ccc2ccccc2c1Cn1cnc2sc3c(c2c1=O)CCC(NCc1cccnc1)C3,ICL-SIRT078,KM-H2,2.892547
26724,379554,COc1cccc2c1=NC(=c1nc(C3CCC(C(=O)O)CC3)n3c1=C(N)N=CN3)C=2,OSI-027,GCIY,0.827102
25776,361853,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,Epirubicin,OACM5-1,-1.699001
38481,16888,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,Doxorubicin,CAL-29,-2.193473
1,506832,COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C)C(=O)N2,PFI-1,J82,4.263969
38993,88259,COc1nc(C)cnc1NS(=O)(=O)c1cccnc1-c1ccc(-c2nnco2)cc1,Zibotentan,A101D,6.024044
7277,424423,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,Nelarabine,PF-382,2.301708
22463,100166,COc1ncc(-c2ccc3nccc(-c4ccnnc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,Omipalisib,Hs-939-T,-1.02944
39936,397248,COc1nnc2ccc(N3CCC(c4ccc(OCCN5CCN(C)C(=O)C5C)cc4)CC3)nn12,AZD5153,NCI-H1623,2.475021
37582,366772,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,Lapatinib,JHOS-3,2.685051
30521,328868,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,Pictilisib,HT-1197,0.300198
17164,59852,CS(=O)(=O)O.Cc1ccc(C(=O)N(CCCN)C(c2nc3cc(Cl)ccc3c(=O)n2Cc2ccccc2)C(C)C)cc1,Ispinesib Mesylate,DMS-79,0.616154
28562,496182,CS(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,VE821,RCH-ACV,0.749436
9660,202832,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,Vismodegib,FU97,4.322056
38134,121028,C[C@@H](N)c1ccc(C(=O)Nc2ccnc3[nH]ccc23)cc1,Y-39983,KM-H2,4.582498
13770,341612,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,Crizotinib,RCH-ACV,0.569073
38246,240180,C[C@@H]1COCCN1c1cc(C2(S(C)(=O)=O)CC2)nc(-c2cccc3[nH]ccc23)n1,AZ20,VMRC-LCD,0.854197
16997,505744,C[C@@]1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)n[nH]2)c2cccn2n1,BMS-754807,TE-4,5.233032
17154,189521,C[C@@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,Veliparib,G-401,4.254165
4275,45316,C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1,Linsitinib,SNU-423,0.667558
8159,426093,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@@H]3[C@H]1CC[C@@H]2O,Fulvestrant,H3255,6.248274
8413,195545,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,Lestaurtinib,KMRC-20,-0.88374
30028,1182,Cc1[nH]c(C=C2C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCC[C@@H]1CN1CCCC1,PHA-665752,HCC2218,4.599962
28702,101728,Cc1[nH]c(C=C2C(=O)Nc3ccc(S(=O)(=O)N(C)c4cccc(Cl)c4)cc32)c(C)c1C(=O)N1CCN(C)CC1,SU11274,COLO-320-HSR,4.438688
1927,159233,Cc1[nH]c2ccccc2c1CCNCc1ccc(C=CC(=O)NO)cc1,Panobinostat,KP-4,-2.193717
28886,145552,Cc1c(CN2CCN(C(=O)C(C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,Apitolisib,OACp4C,-1.524229
19486,47062,Cc1c(N)nc(C(CC(N)=O)NCC(N)C(N)=O)nc1C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)C(C)O)C(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1cnc[nH]1,Bleomycin,WM-115,0.851931
30397,403568,Cc1c2c(nn1C)CSCc1cc(n(C)n1)CSc1cc(c3ccccc3c1)OCCCc1c(C(=O)O)n(C)c3c-2c(Cl)ccc13,AZD5991,NCI-H1781,4.862089
25998,453583,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,Dactinomycin,HuO9,-6.068896
35808,25190,Cc1c[nH]c(-c2cnc(NCCNc3ccc(C#N)cc3)nc2-c2ccc(Cl)cc2Cl)n1,CHIR-99021,JEG-3,3.233398
28227,174258,Cc1cc(-c2ccc(CC(=O)Nc3ccc(-c4cccnc4)cc3)cc2)ccn1,Wnt-C59,TOV-21G,2.876122
34654,380671,Cc1cc(-c2ncc(CC(=O)Nc3ccc(-c4cnccn4)cn3)cc2C)ccn1,LGK974,OS-RC-2,4.271918
27939,13390,Cc1cc(C(C)Nc2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1,TGX221,ES5,5.015914
4641,147581,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CCCC3CO)cc2)c1,Sphingosine Kinase 1 Inhibitor II,SK-MEL-28,3.202087
34690,493531,Cc1cc(N2CC(C)NC(C)C2)ncc1-c1ccc(-c2nc3c(ccn3C)c(=O)[nH]2)cc1,AZ6102,KYSE-70,3.94396
19262,227403,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,BMS-536924,Hs-940-T,3.381263
29749,3568,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,Tozasertib,HA7-RCC,0.418536
34866,357720,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cc3)c(C#N)cc2F)n[nH]1,AZ960,OVCAR-3,4.036182
2100,305392,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)n[nH]1,AZD1480,MEL-JUSO,1.520148
27531,221771,Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1,AZD6482,NB14,1.647977
29538,37240,Cc1cc([N+](=O)[O-])ccc1NS(=O)(=O)c1cc(Cl)ccc1Cl,FH535,NCI-H23,3.655707
9565,443841,Cc1cc2c(C(=O)NCC(C)c3ccccc3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(=O)NCC(C)c3ccccc3)c(O)c(O)cc2c1O,Sabutoclax,TGW,-0.62372
4528,10288,Cc1ccc(-c2c(C(=O)CCl)n(CCCO)c3ncnc(N)c23)cc1,CMK,CP66-MEL,3.507188
31157,71344,Cc1ccc(-c2c(C(=O)CF)n(CCCO)c3ncnc(N)c23)cc1,FMK,SU-DHL-16,4.315307
5034,224487,Cc1ccc(-c2cnccc2-c2cnc(Nc3ccc(O)cc3)s2)c(Cl)c1,CRT0105950,TT,2.065557
14988,207310,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,Doramapimod,D-392MG,5.059969
29054,293935,Cc1ccc(C(=O)N(CCCN)C(c2nc3snc(C)c3c(=O)n2Cc2ccccc2)C(C)C)cc1,AZD4877,CL-11,-1.222084
9724,26588,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,Ponatinib,JJN-3,0.541091
21246,111111,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,NVP-BHG712,WM1552C,5.035789
16702,96395,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,Linifanib,ES8,1.624744
27227,108064,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,Masitinib,TUR,2.250751
8017,4301,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,Imatinib,SLVL,3.289479
37733,2882,Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1Nc1ccc2ncn(C)c(=O)c2c1,AZ628,KG-1,1.008812
5674,133381,Cc1ccc(Nc2cc(-c3cccc(N4C(=O)c5ccccc5C4=O)c3)ncn2)cc1NS(C)(=O)=O,KIN001-270,SK-PN-DW,4.100162
38831,52483,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,Pazopanib,NCI-H2731,1.158462
26621,243701,Cc1ccc2cc(C(=O)Nc3cc(NC(=O)c4ccc5c(c4)OCCO5)ccc3C)ccc2n1,CCT245232,PCI-4B,-4.60364
1274,372388,Cc1ccc2nc(NC(=O)CSc3nc4c(c(=O)n3-c3ccccc3)SCC4)sc2c1,IWP-2,SCC90,3.825945
28684,55668,Cc1ccc2nc(NCCN)c3ncc(C)n3c2c1,BMS-345541,NCCIT,1.341798
31893,166364,Cc1cccc(-c2[nH]c(C(C)(C)C)nc2-c2ccc3c(c2)OCO3)n1,SB505124,SBC-1,2.790925
23489,167234,Cc1cccc(-c2nn(C(=S)Nc3ccccc3)cc2-c2ccnc3ccccc23)n1,A-83-01,NCI-H1838,5.385902
2963,81619,Cc1cccc(Nc2nc(-c3ccncc3)cs2)c1,STF-62247,GCT,4.44781
10681,72915,Cc1ccccc1-n1c(Cn2cnc3c(N)ncnc32)nc2cccc(C)c2c1=O,IC-87114,RH-18,5.191225
20219,455977,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)Cn1ccnc1C)c1cccc(F)c1,AGI-5198,KP-1N,5.352006
4794,185336,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,Nilotinib,TC-71,2.915703
12660,392048,Cc1cnc(-c2ccccc2C(C)C)nc1NCc1ccc(-n2ccnn2)cc1,ML323,A253,4.363076
14789,113531,Cc1cnc(CNC(=O)c2c(=O)c3ccc(N4CCCN(C)CC4)nc3n3c2sc2ccccc23)cn1,CX-5461,AsPC-1,5.13721
35835,84679,Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1,VX-11e,SKG-IIIa,4.851965
4367,118460,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,Fedratinib,NCI-H1770,2.706492
11379,162583,Cc1csc(=NC2CCCCC2)n1N=Cc1ccc(O)c(O)c1O,MIM1,Hs-766T,6.106326
31412,11737,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12,A-443654,ES6,-2.273192
4567,368747,Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C(C)(C)C(N)=O)c4)cc2OCC3)n(C(C)C)n1,Taselisib,T98G,1.4797
38848,368616,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,Alpelisib,RERF-LC-Sq1,1.556879
14667,339138,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,Dasatinib,KINGS-1,3.228885
25111,289830,Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C,AZD5438,HuTu-80,0.296318
33092,509372,Cc1ncc(Cl)cc1NCc1ccc(C(=O)NC(CC2CCCC2)C(=O)NC2CC2)s1,GSK2830371,NCI-H28,7.890466
22056,152058,Cc1nnc(-c2ccc(N3CCC(Oc4cc(F)ccc4Cl)CC3)nn2)o1,CAY10566,LB2518-MEL,2.314289
7243,373166,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,Leflunomide,JHU-022,5.647853
7208,30518,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=NC(CC(=O)OC(C)(C)C)c1nnc(C)n1-2,JQ1,NCI-H1155,1.232415
2086,390320,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)Nc1ccc(O)cc1)c1nnc(C)n1-2,OTX015,GAMG,3.396667
34160,223610,Cl.Cl.O=c1cc(CN2CCOCC2)occ1OCCCCCSc1ccnc2cc(C(F)(F)F)ccc12,EHT-1864,RH-18,3.464945
29906,410683,Cl.Cn1ncc(Cl)c1-c1cc(C(=O)NC(CN)Cc2cccc(F)c2)sc1Cl,GSK2110183B,NCI-H2373,2.536004
31839,177432,Cl[Pt]Cl,Cisplatin,DG-75,4.009331
15487,135479,Clc1ccc(C2(c3ccc(-c4cn[nH]c4)cc3)CCNCC2)cc1,AT7867,NCI-H2818,2.568275
16810,216109,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,Dactolisib,NCI-H1581,-2.992731
677,385087,Cn1cc(-c2ccc3c(c2)CCN3C(=O)Cc2cccc(C(F)(F)F)c2)c2c(N)ncnc21,GSK2606414,MES-SA,2.68147
10633,100970,Cn1cc(-c2ccc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cn1,JNJ38877605,NCI-H2591,4.247812
10049,487713,Cn1cc(-c2cnn3c(N)c(Br)c(C4CCCNC4)nc23)cn1,MK-8776,NB5,3.149892
34069,196124,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21,SB216763,SK-MEL-1,3.759833
33321,69167,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,Enzastaurin,NCI-N87,5.401504
35859,193876,Cn1cc(C=C2C(=O)Nc3cccnc32)c2ccccc21,GW441756,NCI-H345,3.94331
29066,326672,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,Selumetinib,NCI-H841,3.231736
12968,56890,Cn1cncc1[C@](N)(c1ccc(Cl)cc1)c1ccc2c(c1)c(-c1cccc(Cl)c1)cc(=O)n2C,Tipifarnib,NCI-H1836,3.084138
1796,491904,Cn1ncc(Cl)c1-c1cc(C(=O)NC(CN)Cc2ccc(F)c(F)c2)oc1Cl,Uprosertib,COLO-680N,3.942868
894,454468,Cn1ncc(Cl)c1-c1cc(C(=O)NC(CN)Cc2cccc(F)c2)sc1Cl,Afuresertib,DEL,1.798647
41416,264802,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,Talazoparib,TUR,1.830369
19862,281600,Cn1nnc2c(C(N)=O)ncn2c1=O,Temozolomide,HEL,5.204729
33303,64836,FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,ZSTK474,BFTC-905,-0.350569
13281,482987,N#C/C(=C\c1ccc(-c2cc(Cl)ccc2Cl)o1)C(=O)Nc1cccc2ncccc12,AGK2,EW-22,3.016279
15432,59298,N#CC(c1ccnc(NCCc2cccnc2)n1)c1nc2ccccc2s1,AS601245,NCI-H2081,3.203965
35142,105769,N#CC1=C(N)NC(=C2C(=O)C=CC=C2OCC2CC2)C=C1C1CCNCC1,KIN001-260,42-MG-BA,4.916155
17961,359620,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,Ruxolitinib,A101D,5.318219
18298,27600,N#Cc1cc(-c2ccnc(Nc3ccc(-n4cnc(-c5cccnc5)n4)cc3)n2)cc(N2CCOCC2)c1,JNK-9L,CAL-12T,-0.169994
15081,490659,N#Cc1ccc(-c2csc(NN=C3CCCC3)n2)cc1,Remodelin,HCC-15,3.805197
24552,50931,N=C(N)NC(=N)NCCc1ccccc1,Phenformin,OACp4C,8.935422
41034,443132,N=C(N)c1ccccc1,BEN,NB7,4.968881
7017,130781,NC(=O)C1CCCc2c1[nH]c1ccc(Cl)cc21,Selisistat,OCI-AML2,3.394885
1411,290912,NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@@H]1CCCNC1,AZD7762,SNU-C2B,-0.332204
39176,117925,NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O,TPCA-1,NCI-H716,1.973891
29666,226033,NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(-c2ncon2)cc1F)S(=O)(=O)c1ccc(Cl)cc1,Avagacestat,KARPAS-422,3.866838
15694,197997,NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F,VX-702,SNU-C1,2.919039
10273,7018,NC(=O)c1cccc(-c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2)c1,GNF-2,EW-3,3.127423
25496,350175,NC(=O)c1cccc2cn(-c3ccc(C4CCCNC4)cc3)nc12,Niraparib,UACC-893,5.511583
40532,394033,NC(=O)c1cnc(N[C@@H]2CCCC[C@@H]2N)nc1Nc1cccc(-n2nccn2)c1,PRT062607,RVH-421,3.592115
17079,175429,NC(=O)c1ncn(C2OC(COP(=O)(O)O)C(O)C2O)c1N,AICA Ribonucleotide,Ca9-22,7.073447
17906,512683,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,glutathione,C-4-I,8.617084
14046,5739,NC(CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O,S-Trityl-L-cysteine,RPMI-8402,-0.544677
19194,232384,NC1(C(=O)NC(CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,Capivasertib,HuO9,1.362348
29153,457658,NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,AZD5363,CAL-51,1.437156
27992,214313,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,MK-2206,NTERA-2-cl-D1,2.495251
41003,210916,NC1=NC(=O)C(=Cc2ccc(O)cc2)S1,Mirin,HCC-15,4.64498
26212,34419,NCC(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(ccc4ccccc43)c2)cc1,OSU-03012,HCC-33,1.660652
21130,504581,NCC(O)(c1ccc(Cl)cc1)c1ccc(-c2cn[nH]c2)cc1,AT13148,Hs-633T,0.371956
